epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3037.19,1.42501,0.65425,1.42216,0.88625,0.8701,0.89639,0.40136,2.00694,0.78402,1.93305,0.000932603,0.000932603,0.000932603
91,3070.9,1.40361,0.65184,1.41686,0.85972,0.88074,0.8956,0.40538,1.97485,0.78421,1.91892,0.000924352,0.000924352,0.000924352
92,3104.3,1.39761,0.65679,1.4111,0.89998,0.88137,0.89748,0.40153,1.99885,0.76788,1.93408,0.0009161,0.0009161,0.0009161
93,3137.83,1.39468,0.62281,1.39252,0.8443,0.89517,0.89575,0.40389,2.01313,0.79777,1.97164,0.000907848,0.000907848,0.000907848
94,3171.24,1.39413,0.64796,1.41277,0.87727,0.88175,0.90295,0.40236,2.03553,0.78722,1.95247,0.000899597,0.000899597,0.000899597
95,3204.67,1.40859,0.65527,1.41111,0.8818,0.88781,0.90431,0.41588,1.97562,0.7482,1.93936,0.000891345,0.000891345,0.000891345
96,3238.1,1.39735,0.63549,1.41642,0.88142,0.87327,0.90395,0.41503,1.97628,0.75207,1.94299,0.000883093,0.000883093,0.000883093
97,3271.56,1.34234,0.60975,1.37639,0.88802,0.88217,0.90469,0.40604,2.02708,0.79398,1.97836,0.000874842,0.000874842,0.000874842
98,3305.01,1.39389,0.64197,1.40688,0.86405,0.8679,0.88949,0.38853,2.02939,0.78495,1.95967,0.00086659,0.00086659,0.00086659
99,3338.42,1.37418,0.63647,1.40906,0.87152,0.86566,0.88454,0.37719,2.05713,0.78338,2.00819,0.000858338,0.000858338,0.000858338
100,3371.88,1.35641,0.62426,1.39623,0.87083,0.87664,0.90009,0.39863,2.00998,0.78935,1.96542,0.000850087,0.000850087,0.000850087
101,3405.3,1.37536,0.61044,1.39293,0.85125,0.83331,0.84798,0.36711,2.08834,0.81101,2.01195,0.000841835,0.000841835,0.000841835
102,3438.78,1.34605,0.60923,1.39941,0.87724,0.8698,0.88727,0.39202,2.00663,0.79252,1.97643,0.000833583,0.000833583,0.000833583
103,3472.17,1.32962,0.6094,1.38347,0.88209,0.85353,0.8787,0.4038,1.97054,0.766,1.94056,0.000825332,0.000825332,0.000825332
