epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,20309.4,1.49907,0.69652,1.45605,0.86241,0.87026,0.88079,0.39083,2.04492,0.80803,1.9463,0.00105638,0.00105638,0.00105638
76,20565.6,1.48576,0.69061,1.47154,0.87237,0.82723,0.88423,0.3999,1.97871,0.7962,1.89405,0.00104813,0.00104813,0.00104813
77,20822.5,1.4978,0.69158,1.48139,0.90073,0.85896,0.88445,0.39569,2.01114,0.82521,1.91263,0.00103987,0.00103987,0.00103987
78,21078.3,1.48502,0.6989,1.47478,0.87795,0.83132,0.87297,0.40741,1.98887,0.81351,1.90835,0.00103162,0.00103162,0.00103162
79,21341.9,1.50327,0.70855,1.48016,0.89627,0.82031,0.89238,0.39871,2.01035,0.82956,1.90972,0.00102337,0.00102337,0.00102337
80,21599.6,1.46322,0.68978,1.43263,0.87996,0.83895,0.87215,0.39515,2.00533,0.78455,1.90178,0.00101512,0.00101512,0.00101512
81,21859.2,1.45817,0.70415,1.44708,0.84514,0.82887,0.84433,0.36914,1.97673,0.83193,1.91369,0.00100687,0.00100687,0.00100687
82,22149.4,1.4559,0.70505,1.4746,0.8602,0.85575,0.86735,0.38652,1.98031,0.78467,1.89359,0.000998616,0.000998616,0.000998616
83,22404.6,1.44715,0.70442,1.462,0.85492,0.85462,0.85862,0.37334,2.01228,0.79746,1.91949,0.000990365,0.000990365,0.000990365
84,22662.1,1.44957,0.68844,1.44985,0.88539,0.85713,0.88594,0.40176,2.03683,0.81494,1.94958,0.000982113,0.000982113,0.000982113
85,22919.9,1.47033,0.69011,1.48664,0.84953,0.85168,0.85658,0.36632,2.08908,0.81959,1.96561,0.000973861,0.000973861,0.000973861
86,23172.9,1.39435,0.65802,1.41414,0.85879,0.8543,0.85837,0.37057,2.07117,0.80969,1.98464,0.00096561,0.00096561,0.00096561
87,23436.7,1.43471,0.68696,1.45496,0.87445,0.8376,0.86468,0.37348,2.07889,0.81525,1.96357,0.000957358,0.000957358,0.000957358
88,23692.1,1.43177,0.67239,1.43585,0.89202,0.82388,0.8759,0.39686,2.0283,0.79905,1.95081,0.000949106,0.000949106,0.000949106
89,23978.7,1.40932,0.6506,1.43284,0.81601,0.86777,0.85473,0.37082,2.08053,0.79434,1.99135,0.000940855,0.000940855,0.000940855
90,24241.6,1.42193,0.65624,1.41649,0.86013,0.83303,0.84775,0.37622,2.02179,0.81883,1.93851,0.000932603,0.000932603,0.000932603
91,24497.8,1.41088,0.66454,1.45184,0.86561,0.86288,0.8875,0.40272,1.98945,0.78569,1.88857,0.000924352,0.000924352,0.000924352
92,24776.4,1.37677,0.66154,1.41965,0.87568,0.8452,0.87838,0.39743,1.98688,0.78271,1.93207,0.0009161,0.0009161,0.0009161
93,25053.7,1.36941,0.64196,1.41077,0.8473,0.84417,0.85628,0.38252,2.03305,0.82038,1.93349,0.000907848,0.000907848,0.000907848
94,25331.8,1.37163,0.64695,1.39701,0.90347,0.8584,0.89281,0.41109,2.02263,0.80784,1.96343,0.000899597,0.000899597,0.000899597
95,25616.8,1.33711,0.63173,1.38463,0.87157,0.87226,0.88972,0.39406,2.03912,0.77619,1.96903,0.000891345,0.000891345,0.000891345
96,25871,1.34731,0.65733,1.39231,0.89604,0.85575,0.89638,0.39822,2.02599,0.7805,1.9759,0.000883093,0.000883093,0.000883093
97,26132.8,1.34404,0.62018,1.39542,0.85966,0.87656,0.89327,0.39919,2.0642,0.78839,1.9967,0.000874842,0.000874842,0.000874842
98,26392.1,1.34631,0.62663,1.40572,0.8861,0.85541,0.88817,0.38607,2.08679,0.81512,2.0267,0.00086659,0.00086659,0.00086659
99,26667.7,1.35257,0.62285,1.39614,0.86753,0.8736,0.88852,0.38366,2.08884,0.78693,2.00102,0.000858338,0.000858338,0.000858338
100,26921.4,1.33412,0.61839,1.39781,0.84145,0.86588,0.87186,0.38243,2.059,0.778,1.99909,0.000850087,0.000850087,0.000850087
101,27180,1.33644,0.63334,1.38175,0.85034,0.87525,0.88274,0.38053,2.07717,0.8072,2.04838,0.000841835,0.000841835,0.000841835
102,27443.6,1.3263,0.61818,1.38192,0.89816,0.8627,0.89318,0.39342,2.08878,0.78334,2.01015,0.000833583,0.000833583,0.000833583
103,27723.9,1.33863,0.6213,1.37658,0.90811,0.84652,0.88642,0.38567,2.09373,0.81045,2.04947,0.000825332,0.000825332,0.000825332
104,28002.5,1.32729,0.61409,1.35981,0.8647,0.85029,0.86575,0.38801,2.07868,0.81219,2.00665,0.00081708,0.00081708,0.00081708
105,28257.6,1.30705,0.6146,1.3373,0.8852,0.81721,0.86624,0.38641,2.07143,0.80609,2.00963,0.000808828,0.000808828,0.000808828
106,28547.5,1.30045,0.60891,1.37546,0.88912,0.8674,0.89004,0.39933,2.06529,0.82816,2.03003,0.000800577,0.000800577,0.000800577
107,28817.6,1.29963,0.60286,1.35543,0.85184,0.84338,0.86345,0.3836,2.06974,0.81714,2.01939,0.000792325,0.000792325,0.000792325
108,29071.3,1.28669,0.59113,1.36252,0.89224,0.87189,0.8835,0.3962,2.03111,0.78263,1.98466,0.000784073,0.000784073,0.000784073
109,29334.5,1.2596,0.5853,1.32125,0.89396,0.85086,0.88134,0.39457,2.05566,0.785,2.02887,0.000775822,0.000775822,0.000775822
110,29587.7,1.24811,0.60665,1.29968,0.88143,0.85164,0.88043,0.38701,2.07344,0.80062,2.06965,0.00076757,0.00076757,0.00076757
111,29844.3,1.26403,0.60479,1.34835,0.8942,0.87588,0.88723,0.38421,2.06849,0.8321,2.01522,0.000759318,0.000759318,0.000759318
112,30119.8,1.25101,0.58828,1.32698,0.87411,0.84002,0.87857,0.3984,2.0632,0.86781,2.00766,0.000751067,0.000751067,0.000751067
113,30395.4,1.22559,0.58459,1.31924,0.87903,0.82982,0.88268,0.38945,2.05526,0.83036,2.03537,0.000742815,0.000742815,0.000742815
114,30652.6,1.25768,0.58407,1.31702,0.88729,0.86539,0.88344,0.37996,2.06577,0.78754,2.0587,0.000734564,0.000734564,0.000734564
115,30907.8,1.24085,0.57845,1.33493,0.90684,0.84482,0.89379,0.39686,2.05254,0.81792,2.02599,0.000726312,0.000726312,0.000726312
116,31186.9,1.23214,0.5731,1.3127,0.89427,0.85794,0.899,0.40424,2.03628,0.79139,2.04119,0.00071806,0.00071806,0.00071806
117,31444.3,1.25283,0.59296,1.3348,0.87695,0.84744,0.87003,0.37852,2.07857,0.79226,2.03725,0.000709809,0.000709809,0.000709809
118,31699.3,1.20526,0.56273,1.30667,0.88206,0.86875,0.88349,0.39592,2.07439,0.77566,2.06023,0.000701557,0.000701557,0.000701557
119,31960.1,1.20116,0.55885,1.29359,0.88567,0.89585,0.90119,0.39572,2.03019,0.79294,2.02688,0.000693305,0.000693305,0.000693305
120,32215,1.21649,0.56696,1.29358,0.90244,0.87231,0.89556,0.39779,2.03292,0.77819,2.03899,0.000685054,0.000685054,0.000685054
121,32492.6,1.19865,0.57747,1.2848,0.85127,0.85004,0.87577,0.3973,2.02989,0.76838,2.04692,0.000676802,0.000676802,0.000676802
122,32785.6,1.20368,0.57955,1.28825,0.89364,0.8331,0.86843,0.39253,2.04841,0.78334,2.04,0.00066855,0.00066855,0.00066855
123,33056.6,1.19275,0.55423,1.29548,0.88138,0.85857,0.88754,0.40065,2.04123,0.78156,2.02149,0.000660299,0.000660299,0.000660299
124,33310.3,1.17391,0.54218,1.2689,0.87168,0.84275,0.87316,0.39415,2.06841,0.79259,2.0687,0.000652047,0.000652047,0.000652047
125,33565.5,1.17839,0.53108,1.27765,0.88323,0.83646,0.87799,0.39103,2.05307,0.78067,2.06866,0.000643795,0.000643795,0.000643795
126,33833.6,1.17124,0.55926,1.28386,0.86954,0.84404,0.87401,0.38031,2.0998,0.78759,2.09032,0.000635544,0.000635544,0.000635544
127,34086.3,1.15202,0.54495,1.27535,0.89592,0.85218,0.88232,0.39001,2.08415,0.78112,2.10944,0.000627292,0.000627292,0.000627292
128,34363.3,1.10898,0.528,1.25471,0.87703,0.85829,0.88066,0.37567,2.10208,0.77585,2.1159,0.00061904,0.00061904,0.00061904
129,34631.5,1.13347,0.52903,1.25096,0.88115,0.85436,0.88657,0.3852,2.06819,0.77906,2.09945,0.000610789,0.000610789,0.000610789
130,34913.7,1.14204,0.53534,1.26471,0.87862,0.8461,0.87497,0.39139,2.08784,0.77561,2.12196,0.000602537,0.000602537,0.000602537
131,35186.4,1.14058,0.52843,1.25341,0.86976,0.85188,0.86962,0.39218,2.05384,0.77464,2.07121,0.000594286,0.000594286,0.000594286
132,35440,1.13665,0.52454,1.26576,0.86609,0.84494,0.87906,0.40925,2.04223,0.813,2.0554,0.000586034,0.000586034,0.000586034
133,35694,1.12073,0.52749,1.2494,0.88012,0.84249,0.87087,0.38792,2.04666,0.77508,2.10427,0.000577782,0.000577782,0.000577782
134,35958.1,1.07983,0.49628,1.21586,0.86824,0.84904,0.86822,0.38574,2.08252,0.7907,2.13131,0.000569531,0.000569531,0.000569531
135,36233.5,1.10588,0.51869,1.23347,0.86296,0.86019,0.86581,0.38164,2.1173,0.79199,2.1537,0.000561279,0.000561279,0.000561279
136,36489,1.11654,0.52055,1.24247,0.86195,0.86224,0.86657,0.38098,2.09064,0.78371,2.14042,0.000553027,0.000553027,0.000553027
137,36742.6,1.09324,0.50533,1.25233,0.89113,0.83582,0.86685,0.38654,2.08186,0.76675,2.14508,0.000544776,0.000544776,0.000544776
138,37028.9,1.09829,0.51463,1.24124,0.90383,0.84747,0.86559,0.38312,2.07415,0.75871,2.12685,0.000536524,0.000536524,0.000536524
139,37287.3,1.08533,0.50977,1.23406,0.89939,0.8461,0.87664,0.38107,2.10052,0.78322,2.13309,0.000528272,0.000528272,0.000528272
140,37539.7,1.07473,0.53366,1.2249,0.88298,0.8474,0.87869,0.39466,2.05417,0.76882,2.12993,0.000520021,0.000520021,0.000520021
141,37792.8,1.06573,0.51109,1.19654,0.88983,0.84458,0.866,0.38138,2.09932,0.78754,2.18389,0.000511769,0.000511769,0.000511769
142,38060.5,1.05746,0.49269,1.20139,0.89414,0.86589,0.87509,0.38183,2.04718,0.77523,2.161,0.000503517,0.000503517,0.000503517
143,38348.3,1.07001,0.50216,1.21828,0.89161,0.84513,0.85478,0.37385,2.08013,0.81263,2.14625,0.000495266,0.000495266,0.000495266
144,38600.4,1.06745,0.49286,1.20864,0.87541,0.86826,0.86573,0.37919,2.06963,0.78474,2.15445,0.000487014,0.000487014,0.000487014
145,38852.9,1.04732,0.48228,1.18941,0.88758,0.81968,0.85258,0.37904,2.04992,0.7747,2.14233,0.000478762,0.000478762,0.000478762
